id,cords,weight
717847,55.84583;37.559721,84.16
717848,55.798277;37.624552,67.20
717849,55.691679;37.589096,150.21
717850,55.789436;37.585592,116.03
717851,55.829087;37.405238,56.87
717852,55.394827;37.810126,135.50
717853,54.878583;38.152295,99.71
717854,55.449868;37.550091,202.71
717855,55.488014;37.300431,284.74
717856,55.80656;38.04844,176.29
717857,55.636544;37.620663,135.77
717858,55.822903;37.338556,87.18
717859,55.889997;37.537586,109.82
717860,55.752485;37.623196,140.29
717861,55.897387;37.680176,108.20
717862,55.749501;37.824607,215.82
717863,56.031176;35.952186,99.18
717864,55.558962;37.347853,49.92
717865,56.031176;35.952186,129.13
717866,56.097508;38.610076,102.42
717867,55.73478;37.827185,118.32
717868,55.635559;37.795565,109.98
717869,55.595994;37.537353,103.24
717870,56.056478;37.364221,176.75
717871,55.462273;38.444867,96.61
717872,55.729199;38.024752,105.58
717873,55.897387;37.680176,89.82
717874,55.793343;37.492509,175.74
717875,55.654518;37.618704,314.65
717876,55.26621;38.742883,90.85
717877,55.793024;37.627777,55.67
717878,55.897387;37.680176,104.90
717879,55.909781;36.882652,255.54
717880,56.028042;36.807319,116.45
717881,55.684473;37.685853,205.40
717882,55.585189;37.596049,291.54
717883,55.969391;37.450674,90.42
717884,56.336309;37.54913,144.08
717885,56.284089;37.489958,98.90
717886,55.661765;37.523725,305.77
717887,55.703281;37.845565,179.86
717888,55.899179;38.017934,84.04
717889,55.70286;37.834066,133.86
717890,55.891698;37.748619,132.22
717891,55.672037;37.651672,174.37
717892,55.652989;37.396416,123.69
717893,55.488014;37.300431,221.60
717894,54.881349;38.067305,294.99
717895,55.66372;37.598016,192.11
717896,55.988228;35.930608,295.32
717897,55.744206;37.801529,235.11
717898,56.348422;37.524992,92.28
717899,54.888972;38.079118,149.69
717900,55.567911;37.477812,288.63
717901,56.339337;37.53526,212.82
717902,55.40545;38.657175,157.14
717903,55.341567;38.725366,109.61
717904,55.912844;36.863553,134.31
717905,55.74639;37.795538,62.10
717906,55.749243;37.80126,256.22
717907,55.803848;37.606083,160.90
717908,55.610967;37.295751,273.38
717909,55.651658;37.347377,179.18
717910,55.74263;37.709515,160.24
717911,55.969391;37.450674,127.40
717912,55.839173;37.530148,170.78
717913,55.839613;37.183174,286.42
717914,55.429154;37.562389,237.07
717915,55.590312;37.373078,636.41
717916,56.375379;37.414643,232.99
717917,55.969391;37.450674,310.41
717918,56.366385;37.534775,162.86
717919,56.334941;37.534308,154.24
717920,55.983751;36.796683,395.85
717921,55.604829;37.759039,384.09
717922,55.63034;37.620618,224.41
717923,55.841382;37.144124,334.97
717924,55.596793;37.343056,218.99
